Number_of_features,Selected_features,Macro_F1_mean,Macro_F1_std,Accuracy_mean,Accuracy_std
1,['Energy_Weighted_Velocity'],0.5971466758783086,0.0190400685730195,0.6355460690571579,0.0152377539848535
2,"['Energy_Weighted_Velocity', 'Total_Signal_Over_Max']",0.8521632720478873,0.0134416599151685,0.8438617642404959,0.0164271166169114
3,"['Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.885814529875973,0.0173540062927539,0.8812126776613131,0.0190450556545119
4,"['Maximum_Velocity_Bandwidth', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.890852890210506,0.0187525215241213,0.885288293666887,0.0209553330788586
5,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.8940636252536027,0.0245427222697577,0.8884248571374119,0.0265234959100188
6,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.89495821564686,0.0276249454419037,0.8884837174545217,0.0290811803443603
7,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.8955645177045553,0.025835643444538,0.8892529482237526,0.0282968287002688
8,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.8940229865800792,0.0236081838144721,0.8868713126426909,0.0258063370474059
9,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Mean_Cadence']",0.8951748820621648,0.0262494255126425,0.8860544883429535,0.0296444034646054
10,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Mean_Cadence']",0.8945415397607167,0.0259336302805799,0.8860733874688689,0.0285322628194613
11,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8959703976896967,0.0215834625047971,0.8869437844081325,0.0244167424067656
12,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8947196563732097,0.0224393560657691,0.8861836574861414,0.0253979369662112
13,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.893832229764457,0.0250992207816654,0.8853857323123195,0.0281356030029619
14,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8927559290917856,0.0241708879484296,0.8837695113308326,0.0277771081858456
15,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8908504283885635,0.0217451097549052,0.8814414483892972,0.0254706146389095
16,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.892112352430345,0.0231858099907609,0.8836917518878072,0.0261364536893291
17,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.889422819153077,0.0222413171050607,0.8812912171808301,0.0248703490419867
18,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Kurtosis_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8877095248971422,0.023836189681919,0.8795776461989664,0.0262350190158398
19,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Kurtosis_Doppler_Distr', 'Variance_Frequency_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8840429741211308,0.0153071927370037,0.8757201369211532,0.0177643180651993
