Number_of_features,Selected_features,Macro_F1_mean,Macro_F1_std,Accuracy_mean,Accuracy_std
1,['Energy_Weighted_Velocity'],0.5971466758783086,0.019040068573019535,0.6355460690571579,0.015237753984853547
2,"['Energy_Weighted_Velocity', 'Total_Signal_Over_Max']",0.8521632720478873,0.013441659915168526,0.8438617642404959,0.016427116616911437
3,"['Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.885814529875973,0.01735400629275394,0.8812126776613131,0.019045055654511985
4,"['Maximum_Velocity_Bandwidth', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.890852890210506,0.018752521524121303,0.885288293666887,0.020955333078858614
5,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Total_Signal_Over_Max']",0.8940636252536027,0.024542722269757733,0.8884248571374119,0.026523495910018877
6,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.89495821564686,0.027624945441903748,0.8884837174545217,0.029081180344360382
7,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.8955645177045553,0.02583564344453804,0.8892529482237526,0.02829682870026889
8,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max']",0.8940229865800792,0.023608183814472116,0.8868713126426909,0.025806337047405942
9,"['Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Mean_Cadence']",0.8951748820621648,0.026249425512642553,0.8860544883429535,0.029644403464605465
10,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Mean_Cadence']",0.8945415397607167,0.025933630280579937,0.8860733874688689,0.028532262819461352
11,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8959703976896967,0.021583462504797125,0.8869437844081325,0.024416742406765665
12,"['Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8947196563732097,0.02243935606576917,0.8861836574861414,0.025397936966211246
13,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.893832229764457,0.02509922078166548,0.8853857323123195,0.028135603002961945
14,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8927559290917856,0.024170887948429674,0.8837695113308326,0.027777108185845688
15,"['Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8908504283885635,0.02174510975490528,0.8814414483892972,0.02547061463890954
16,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.892112352430345,0.02318580999076091,0.8836917518878072,0.026136453689329108
17,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.889422819153077,0.022241317105060714,0.8812912171808301,0.024870349041986758
18,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Kurtosis_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8877095248971422,0.023836189681919008,0.8795776461989664,0.026235019015839817
19,"['Maximum_Absolute_Velocity', 'Mean_Absolute_Velocity', 'Mean_Velocity_Bandwidth', 'Maximum_Velocity_Bandwidth', 'Active_Motion_Duration', 'Active_Motion_Fraction', 'Velocity_Imbalance', 'High_Velocity_Fraction', 'Main_Burst_Duration', 'Energy_Weighted_Velocity', 'Imbalance_Doppler_Distr', 'Variance_Doppler_Distr', 'Skewness_Doppler_Distr', 'Kurtosis_Doppler_Distr', 'Variance_Frequency_Doppler_Distr', 'Mean_Difference_From_Zero_Freq', 'Total_Signal_Over_Max', 'Standard_Deviation_Range', 'Mean_Cadence']",0.8840429741211308,0.015307192737003702,0.8757201369211532,0.017764318065199385
